Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:03055005


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
3055005;2;01/09/1976;1;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
3055005;2;01/10/1976;1;31,7;77,6;5;10;1;1;0;;0;0,0;0,0;0,0;0,0;31,7;0,0;0,0;0,0;0,0;4,2;0,0;0,0;1,0;0,0;0,0;9,0;7,0;7,5;1,8;0,0;0,0;0,0;7,1;1,3;0,0;0,0;0,0;0,0;0,0;0,0;7,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3055005;2;01/11/1976;1;7,9;28,8;2;5;1;1;0;;0;0,0;7,9;5,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,3;7,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3055005;2;01/12/1976;1;11,6;40,6;16;6;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,0;11,6;0,0;0,0;0,0;1,2;0,0;7,0;0,0;0,0;0,0;0,0;0,0;5,8;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3055005;2;01/01/1977;1;70,0;117,4;3;9;1;1;0;;0;6,8;0,0;70,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;7,0;0,0;7,0;0,0;0,0;6,6;7,0;7,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3055005;2;01/02/1977;1;28,8;142,7;26;13;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;7,0;5,6;7,0;7,0;7,0;1,0;0,0;0,0;0,0;5,2;0,0;0,0;6,7;0,0;0,0;0,0;0,0;10,2;0,0;4,8;28,8;26,2;26,2;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
3055005;2;01/03/1977;1;18,4;26,2;5;3;1;1;0;;0;0,0;0,0;0,0;0,0;18,4;0,0;0,0;0,0;0,0;0,0;0,0;2,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3055005;2;01/04/1977;1;67,0;176,6;16;4;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;31,6;0,0;0,0;0,0;0,0;0,0;27,0;67,0;51,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3055005;2;01/05/1977;1;31,0;104,0;6;5;1;1;0;;0;0,0;25,8;0,0;0,0;0,0;31,0;0,0;5,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,8;0,0;0,0;24,8;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3055005;2;01/06/1977;1;37,2;73,6;21;8;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;5,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;1,8;0,0;0,0;37,2;2,0;0,0;17,6;0,0;1,0;0,0;0,0;6,4;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
